profile_id,event_index,torpedo_id,ship_id,hit_time_s,hit_x,hit_y
P01,1,F01,S26,153.59999999999982,1064.6857394051412,1403.9447050929691
P01,2,F02,S26,158.79999999999953,1075.6775959388438,1330.435974359871
P01,3,F03,S04,260.59999999999377,174.31642789629495,79.41295159209767
P01,4,F04,S04,263.1999999999936,242.06071339005257,16.383826805630633
P02,1,F03,S40,116.00000000000111,1726.7258449779783,1447.0227523883314
P02,2,F04,S40,116.60000000000112,1783.2321617145644,1418.3494752359497
P02,3,F01,S33,131.60000000000107,1411.574753567564,1351.7252212577623
P03,1,F04,S26,162.5999999999993,1031.599930639718,1453.365988764932
P04,1,F04,S11,201.5999999999971,348.19527703652057,78.86836372049447
P04,2,F02,S04,217.3999999999962,-7.662629844797721,63.67085546718931
P04,3,F03,S04,221.19999999999598,20.85435409483034,-32.578202753982396
P05,1,F01,S33,102.40000000000092,1255.8215410987962,1421.0681384683262
P05,2,F02,S33,106.00000000000097,1287.6540659664486,1375.2173305190752
P05,3,F03,S04,229.39999999999552,67.87530039227522,-28.90539045985406
P06,1,F04,S11,210.59999999999658,403.3378739460659,72.06872344297835
P06,2,F02,S04,226.99999999999565,25.745558131227426,70.00091209553352
P06,3,F03,S04,228.99999999999554,71.63826442905201,2.806891045546081
P07,1,F01,S26,127.00000000000126,854.0511462829834,1448.0756538829023
P07,2,F02,S26,128.60000000000124,912.0143989637363,1433.1379233447485
P07,3,F03,S26,131.80000000000106,956.3782964214447,1399.559855702967
P08,1,F03,S24,159.99999999999946,1100.5532138467013,-1359.9365511189362
P08,2,F04,S24,160.19999999999945,1065.8177011001026,-1425.358819339316
P08,3,F02,S04,260.79999999999376,188.70466021136826,-58.54838075508269
P09,1,F01,S38,113.20000000000107,1764.063286788539,-1415.9923944281745
P09,2,F02,S38,118.00000000000114,1702.7837983802674,-1441.3330512764235
P09,3,F04,S31,138.80000000000067,1444.5828831407919,-1394.7195640746131
P10,1,F01,S24,155.7999999999997,1002.1944593030637,-1434.6746992498788
P10,2,F04,S17,174.59999999999863,713.0525967760304,-1385.3807922960582
P11,1,F01,S11,196.99999999999736,353.79368968037306,-39.03006830838535
P11,2,F03,S04,220.19999999999604,-15.041370002738404,-57.99714458074959
P11,3,F02,S04,221.19999999999598,8.959275559658636,64.88969223187041
P12,1,F03,S31,106.60000000000097,1287.6635841996033,-1390.453181857035
P12,2,F04,S31,108.200000000001,1254.1457454481747,-1434.1460456786053
P12,3,F02,S04,225.39999999999574,53.85778887027709,9.571906637373104
P13,1,F01,S11,203.99999999999696,395.82143164435274,-27.24935649076906
P13,2,F02,S04,227.7999999999956,64.76372896971588,23.273645942495932
P13,3,F03,S04,230.59999999999545,27.526236516767312,-69.745021273043
P14,1,F01,S18,46.000000000000114,-56.16312106695176,54.66122264208195
P14,2,F02,S18,48.00000000000014,-37.48964742678692,62.029094800154326
P14,3,F03,S18,50.20000000000017,-17.781355854205742,67.11809590868995
P14,4,F04,S18,52.60000000000021,3.1906037721883536,70.03483960306153
P15,1,F01,S18,56.000000000000256,44.573090060527704,-74.63410553525864
P15,2,F02,S18,60.800000000000324,17.914769411403554,-48.94462157715145
P16,1,F04,S18,58.40000000000029,66.39951526183813,72.68232537667916
P16,2,F03,S18,59.0000000000003,43.58077721622391,72.16213186125901
P17,1,F03,S11,127.20000000000127,-44.49388769051029,-73.06657151183322
P17,2,F04,S11,131.60000000000107,-100.81701973358372,-22.05467742853716
P17,3,F02,S12,219.39999999999608,419.6931251104344,1307.4279998793568
P18,1,F01,S17,71.60000000000048,188.9564016446472,-1412.1203270594644
P18,2,F02,S17,72.20000000000049,159.16707558713293,-1435.885357187849
P18,3,F03,S17,74.20000000000051,128.24416604589948,-1438.9787419175957
P19,1,F01,S19,31.59999999999992,-91.38782347222389,1454.73206539184
P19,2,F02,S19,33.79999999999994,-77.96546686534943,1453.5787100835712
P19,3,F03,S19,35.79999999999997,-65.00693834538276,1455.8636228306107
P19,4,F04,S19,38.0,-51.45225743255379,1455.5111242602545
P20,1,F02,S11,137.80000000000072,33.88993736834027,-57.80151102564719
P20,2,F01,S11,138.4000000000007,76.27250223619046,-11.21367560640374
P20,3,F03,S11,140.20000000000059,-14.621360650115605,-59.63136226693314
P21,1,F04,S10,162.39999999999932,125.19878782703883,-1288.8829828203893
P21,2,F03,S02,249.99999999999434,65.91174088192496,-2674.409722278821
P22,1,F02,S04,161.59999999999937,-379.50024156724703,-54.39389090448688
P22,2,F03,S04,162.5999999999993,-402.889049735752,32.372525457432346
P22,3,F04,S18,256.599999999994,1005.0745886619866,67.09063851625643
P23,1,F02,S04,207.39999999999677,-183.41476452631832,3.9656136950464997
P23,2,F03,S04,213.5999999999964,-110.88968718769047,79.43629635754291
P23,3,F04,S11,257.39999999999395,524.6974930528668,25.78337461583476
P24,1,F04,S04,195.79999999999742,-234.34910435202892,-27.822187694086438
P24,2,F02,S11,231.5999999999954,407.30595881887666,-39.99793787812109
P24,3,F01,S18,270.3999999999932,1045.6667278165169,-3.339877599860756
P25,1,F01,S11,216.99999999999622,462.4890474496133,-20.089128647077814
P25,2,F02,S04,240.99999999999486,129.38902333632223,4.9473357759873124
P25,3,F03,S04,244.79999999999464,92.77350730906255,-72.62312122385583
P26,1,F03,S17,53.200000000000216,90.77921900987366,-1417.5797349675336
P26,2,F04,S17,55.00000000000024,37.455038097968384,-1443.7138486950012
P27,1,F02,S18,70.20000000000046,119.72535036648077,76.03111431716275
P27,2,F03,S18,75.40000000000053,212.32809446540418,40.73995172964828
P27,3,F01,S10,156.19999999999968,83.50747842969005,-1287.6149380013762
P27,4,F04,S17,172.39999999999876,701.9294238845321,-1347.8417682553095
P28,1,F01,S11,204.39999999999694,338.6018551647576,85.86154690050427
P28,2,F04,S33,356.1999999999968,2429.409846545276,1303.4067667215888
P29,1,F01,S11,244.39999999999466,456.97593892150417,8.040285335005251
P29,2,F02,S25,339.9999999999977,1928.7790653699485,83.88309929135164
P30,1,F01,S04,187.99999999999787,-279.45772537745734,20.772189803779384
P30,2,F03,S19,321.3999999999988,1298.05432985875,1388.2083621864704
