profile_id,total_hits,ships_hit,torpedoes_that_hit,sim_duration_s,hit_dt
P01,4,2,4,600,0.2
P02,3,2,3,600,0.2
P03,1,1,1,600,0.2
P04,3,2,3,600,0.2
P05,3,2,3,600,0.2
P06,3,2,3,600,0.2
P07,3,1,3,600,0.2
P08,3,2,3,600,0.2
P09,3,2,3,600,0.2
P10,2,2,2,600,0.2
P11,3,2,3,600,0.2
P12,3,2,3,600,0.2
P13,3,2,3,600,0.2
P14,2,2,2,600,0.2
P15,3,3,3,600,0.2
P16,4,1,4,600,0.2
P17,3,2,3,600,0.2
P18,2,1,2,600,0.2
P19,4,1,4,600,0.2
P20,4,2,4,600,0.2
P21,4,1,4,600,0.2
P22,3,2,3,600,0.2
P23,2,2,2,600,0.2
P24,3,3,3,600,0.2
P25,3,2,3,600,0.2
P26,2,1,2,600,0.2
P27,4,3,4,600,0.2
P28,2,2,2,600,0.2
P29,2,2,2,600,0.2
P30,2,2,2,600,0.2
