base_bearing_rad,spread_rad,n,launch_delay_mean,expected_hits,p_hit_ge_1,var_hits,seed
0.0,0.2,6,0.0,8.0,1.0,0.0,0
0.0,0.2,6,2.0,8.0,1.0,0.0,0
-0.2,0.2,6,0.0,6.0,1.0,0.0,0
-0.2,0.2,6,2.0,6.0,1.0,0.0,0
-0.2,0.4,6,0.0,6.0,1.0,0.0,0
-0.2,0.4,6,2.0,6.0,1.0,0.0,0
0.0,0.4,4,0.0,6.0,1.0,0.0,0
0.0,0.4,4,2.0,6.0,1.0,0.0,0
0.2,0.2,6,0.0,6.0,1.0,0.0,0
0.2,0.2,6,2.0,6.0,1.0,0.0,0
0.2,0.4,6,0.0,6.0,1.0,0.0,0
0.2,0.4,6,2.0,6.0,1.0,0.0,0
-0.2,0.2,4,0.0,5.0,1.0,0.0,0
-0.2,0.2,4,2.0,5.0,1.0,0.0,0
0.2,0.2,4,0.0,5.0,1.0,0.0,0
0.2,0.2,4,2.0,5.0,1.0,0.0,0
0.0,0.2,2,0.0,4.0,1.0,0.0,0
0.0,0.2,2,2.0,4.0,1.0,0.0,0
0.0,0.2,4,0.0,4.0,1.0,0.0,0
0.0,0.2,4,2.0,4.0,1.0,0.0,0
0.0,0.4,6,0.0,4.0,1.0,0.0,0
0.0,0.4,6,2.0,4.0,1.0,0.0,0
-0.2,0.2,2,0.0,3.0,1.0,0.0,0
-0.2,0.2,2,2.0,3.0,1.0,0.0,0
0.2,0.2,2,0.0,3.0,1.0,0.0,0
0.2,0.2,2,2.0,3.0,1.0,0.0,0
-0.2,0.4,4,0.0,2.0,1.0,0.0,0
-0.2,0.4,4,2.0,2.0,1.0,0.0,0
0.0,0.4,2,0.0,2.0,1.0,0.0,0
0.0,0.4,2,2.0,2.0,1.0,0.0,0
0.2,0.4,4,0.0,2.0,1.0,0.0,0
0.2,0.4,4,2.0,2.0,1.0,0.0,0
-0.2,0.0,2,0.0,1.0,1.0,0.0,0
-0.2,0.0,2,2.0,1.0,1.0,0.0,0
-0.2,0.0,4,0.0,1.0,1.0,0.0,0
-0.2,0.0,4,2.0,1.0,1.0,0.0,0
-0.2,0.0,6,0.0,1.0,1.0,0.0,0
-0.2,0.0,6,2.0,1.0,1.0,0.0,0
0.2,0.0,2,0.0,1.0,1.0,0.0,0
0.2,0.0,2,2.0,1.0,1.0,0.0,0
0.2,0.0,4,0.0,1.0,1.0,0.0,0
0.2,0.0,4,2.0,1.0,1.0,0.0,0
0.2,0.0,6,0.0,1.0,1.0,0.0,0
0.2,0.0,6,2.0,1.0,1.0,0.0,0
-0.2,0.4,2,0.0,0.0,0.0,0.0,0
-0.2,0.4,2,2.0,0.0,0.0,0.0,0
0.0,0.0,2,0.0,0.0,0.0,0.0,0
0.0,0.0,2,2.0,0.0,0.0,0.0,0
0.0,0.0,4,0.0,0.0,0.0,0.0,0
0.0,0.0,4,2.0,0.0,0.0,0.0,0
0.0,0.0,6,0.0,0.0,0.0,0.0,0
0.0,0.0,6,2.0,0.0,0.0,0.0,0
0.2,0.4,2,0.0,0.0,0.0,0.0,0
0.2,0.4,2,2.0,0.0,0.0,0.0,0
