profile_id,name,approach_family,range_band,n,speed_mps,base_bearing_rad,spread_doctrine,spread_deg,launch_delay_s,salvo_interval_s,u_boat_initial_speed_mps,u_pos_x,u_pos_y,range_to_centroid_m,bearing_error_deg,severity,flag_count,suggested_label,flags,source,generator_version,mode,seed,convoy_profile
D000031,dataset_000031_south_west_quarter_medium_uniform_random,south_west_quarter,medium,4,15.4333,1.0744584157683146,uniform_divergent,5.5,2.5,2.5,1.9,-922.5401629702087,-1968.255499059873,2173.7318284168655,3.325132439791997,3.990158927750396,0,credible_hit_threat,,generate_attack_profile_scaffold,v2,dataset,1945,convoy_layout_1
D000032,dataset_000032_east_abeam_medium_uniform_random,east_abeam,medium,4,15.4333,2.932497425461805,uniform_divergent,4.0,0.7,3.0,1.8,2291.8889134433616,-334.948750550695,2316.235190359577,3.66562878423689,4.3987545410842674,0,credible_hit_threat,,generate_attack_profile_scaffold,v2,dataset,1945,convoy_layout_1
D000033,dataset_000033_north_east_quarter_long_uniform_random,north_east_quarter,long,4,15.4333,-2.192779842104663,uniform_divergent,5.5,1.0,3.0,1.8,1759.6505121564774,2881.1062012024872,3375.965471911699,4.222315635708238,5.066778762849886,0,credible_hit_threat,,generate_attack_profile_scaffold,v2,dataset,1945,convoy_layout_1
D000034,dataset_000034_east_abeam_long_uniform_random,east_abeam,long,4,15.4333,-3.0712198298891336,uniform_divergent,6.000000000000001,2.2,1.5,1.7,3058.4233011056913,252.85357302091097,3068.857770919936,0.6940850035186124,0.8329020042223348,0,credible_hit_threat,,generate_attack_profile_scaffold,v2,dataset,1945,convoy_layout_1
D000035,dataset_000035_west_abeam_long_uniform_random,west_abeam,long,4,15.4333,0.09082911757259816,uniform_divergent,8.0,1.0,2.5,1.8,-3260.7071497053626,-352.35375362806195,3279.689662732658,0.9633556432732658,1.156026771927919,0,credible_hit_threat,,generate_attack_profile_scaffold,v2,dataset,1945,convoy_layout_1
D000036,dataset_000036_north_east_quarter_medium_uniform_random,north_east_quarter,medium,4,15.4333,-2.2117019801510955,uniform_divergent,7.0,1.1,2.5,1.6,1410.0240689224113,1814.317793216556,2297.8069826951755,1.131907872523387,1.3582894470280644,0,credible_hit_threat,,generate_attack_profile_scaffold,v2,dataset,1945,convoy_layout_1
D000037,dataset_000037_north_west_quarter_long_uniform_random,north_west_quarter,long,4,15.4333,-1.0019478745151276,uniform_divergent,8.0,1.5,1.5,1.3,-1437.5717067546077,2718.5555849368698,3075.2490761648564,4.722737497981884,5.66728499757826,0,credible_hit_threat,,generate_attack_profile_scaffold,v2,dataset,1945,convoy_layout_1
D000038,dataset_000038_west_abeam_medium_uniform_random,west_abeam,medium,4,15.4333,0.08929185263811419,uniform_divergent,4.5,0.5,2.0,1.5,-2177.8652923378304,-187.7770551387277,2185.9454371064057,0.18815169755966507,0.22578203707159808,0,credible_hit_threat,,generate_attack_profile_scaffold,v2,dataset,1945,convoy_layout_1
D000039,dataset_000039_north_east_quarter_medium_uniform_random,north_east_quarter,medium,4,15.4333,-2.059310527439177,uniform_divergent,4.0,1.5,2.0,1.2,921.0514865247609,1823.650484276428,2043.0459930288212,1.1933229038365265,1.4319874846038319,0,credible_hit_threat,,generate_attack_profile_scaffold,v2,dataset,1945,convoy_layout_1
D000040,dataset_000040_east_abeam_long_uniform_random,east_abeam,long,4,15.4333,-3.0249722025053285,uniform_divergent,5.0,1.3,2.0,1.1,3315.851118418015,140.1574851671258,3318.811950105395,4.261469036416661,5.113762843699993,0,credible_hit_threat,,generate_attack_profile_scaffold,v2,dataset,1945,convoy_layout_1
