profile_id,name,belief_score,u_pos_x,u_pos_y,estimated_range_m,estimated_bearing_rad,estimated_convoy_heading_rad,estimated_convoy_speed_mps,estimated_contact_count,estimated_formation_width_m,estimated_formation_depth_m,estimated_contact_density_per_km2,estimated_aspect_rad,projected_target_span_m,bearing_alignment_error_rad,range_score,bearing_alignment_score,aspect_score,formation_span_score,contact_density_score,spread_score,contact_score,inside_score,uncertainty_score,spawn_region,approach_side,inside_convoy_envelope,spread_rad,launch_delay_s,salvo_interval_s,u_boat_initial_speed_mps,candidate_source_label,selector_method,belief_rank,full_state_rank,attacker_score,expected_loss,expected_hits,expected_unique_ships_hit,value_lost,in_full_state_top_k,in_belief_top_k
VAE000009,vae_candidate_000009,1.0316393580370653,154.15969848632812,-2216.0,2276.6405460976516,1.6533994252923525,-0.008811002389484955,5.085192137321598,42,8130.311153013718,2342.3165996614453,2.2054465022576535,1.4793822259079559,3074.7269694270803,0.09355192258783007,0.9971274691983739,0.9978136047471226,0.9958246399243442,1.0,0.2756808127822067,0.8158204347690111,1.0,1.0,0.07655530673405253,inside_convoy_envelope,inside,True,0.04789381101727486,2.2761316299438477,2.054655075073242,1.5838927030563354,vae_candidate_pool_v1,belief_limited_heuristic_v1,1,70,2.935,2.935,3.6333333333333337,1.1666666666666667,1.275,False,True
VAE000012,vae_candidate_000012,1.027993838102998,-72.92568969726562,2110.332763671875,2109.7728825791582,-1.5702208947917302,0.033185584424671705,4.795856455079574,42,8340.274234622213,2559.510838351431,1.9674875218202452,-1.5381861743733911,2830.0794509230514,0.391773267562642,0.9842032664190714,0.9621167151243801,0.9994683360972877,1.0,0.24593594022753065,0.9126791355460544,1.0,1.0,0.07503132259505355,inside_convoy_envelope,inside,True,0.060887888073921204,0.7731173634529114,1.5156934261322021,1.7997565269470215,vae_candidate_pool_v1,belief_limited_heuristic_v1,2,41,4.25,4.25,3.0,2.0,2.0499999999999994,False,True
VAE000119,vae_candidate_000119,1.0173452730172423,-348.427734375,-1952.29296875,2021.8119721490352,1.3617625165189802,0.01114123009767502,4.491223529636603,42,8193.386655029835,2338.9623895695504,2.1916066108577446,1.7909713671684886,4071.9373093877107,0.22865214312277504,0.9733251442162448,0.9869863957733531,0.9758592353857221,1.0,0.27395082635721807,0.8153971283666647,1.0,1.0,0.0787198028176087,inside_convoy_envelope,inside,True,0.04784364998340607,1.6835683584213257,2.4629642963409424,1.365951657295227,vae_candidate_pool_v1,belief_limited_heuristic_v1,3,96,2.109999999999999,2.109999999999999,1.3,1.0,1.0500000000000005,False,True
VAE000126,vae_candidate_000126,1.014956933350706,10.926025390625,-1917.53662109375,1832.3615814287396,1.5308736952438275,0.039410251306965634,4.573926142643169,42,8238.455414584063,2290.9477157964916,2.2252987137381806,1.6501292096529314,2936.6372802309916,0.10510040535600673,0.9409080111928918,0.99724101726728,0.9968547969499671,1.0,0.27816233921727257,0.823247167950639,1.0,1.0,0.08153011646601495,inside_convoy_envelope,inside,True,0.04878019168972969,1.5761173963546753,2.478102922439575,1.1480867862701416,vae_candidate_pool_v1,belief_limited_heuristic_v1,4,75,2.700000000000001,2.700000000000001,4.0,1.0,1.1000000000000003,False,True
VAE000123,vae_candidate_000123,1.007707600896832,-420.31610107421875,-1652.5194091796875,1836.7583941556395,1.3396388091148155,-0.016616389416340097,5.180990575833806,42,8270.650856734059,2392.409411796703,2.1226290349117227,1.7853374550586383,4098.375604805359,0.29588538099452744,0.9417928213837378,0.9782721758993277,0.9770741904506068,1.0,0.26532862936396534,0.8392898558502558,1.0,1.0,0.08005696424311004,inside_convoy_envelope,inside,True,0.05073951557278633,1.825866937637329,2.529836654663086,1.096497654914856,vae_candidate_pool_v1,belief_limited_heuristic_v1,5,66,3.186666666666667,3.186666666666667,2.7,1.4666666666666666,1.4733333333333334,False,True
VAE000098,vae_candidate_000098,1.0019444287997274,-207.56365966796875,-3097.954833984375,3063.6087163781704,1.5322884338840006,-0.034027367456127444,4.5038295433487985,42,8384.258858755149,2558.0561593639377,1.9582788673016374,1.5752768522496654,2595.5962423258884,0.4025877249503418,0.9201238662220126,0.9600251018544889,0.9999899624626166,0.9983062470484186,0.24478485841270467,0.8430604568942438,1.0,1.0,0.06981941558615706,inside_convoy_envelope,inside,True,0.05120982229709625,1.7109768390655518,2.007589101791382,1.8175441026687622,vae_candidate_pool_v1,belief_limited_heuristic_v1,6,53,4.040000000000002,4.040000000000002,4.0,1.8,1.8,False,True
VAE000089,vae_candidate_000089,0.9703760285215317,1269.6495361328125,2517.448486328125,2691.9904526664063,-2.011583987488862,-0.06593234627510527,4.726424603948055,42,8179.657525304493,2256.0450859208754,2.2759692771050632,-1.1959410123760363,5094.269265234129,0.3360096918001911,0.9840122779339484,0.9720389363757823,0.9305606065262709,1.0,0.2844961596381329,0.9316217922559102,1.0,0.0,0.07557664976900168,ahead_vae,ahead,False,0.06404171884059906,2.364844799041748,1.9715983867645264,1.523587942123413,vae_candidate_pool_v1,belief_limited_heuristic_v1,7,29,4.38,4.38,4.0,1.9333333333333331,2.0333333333333337,False,True
VAE000054,vae_candidate_000054,0.9635612262609523,-1082.787109375,3302.58447265625,3424.97152989654,-1.2192590536760124,-0.032879725805480556,5.041833526604308,42,8364.413723947295,2451.511538610787,2.0482352817463125,-1.9552133257192612,5409.405393789799,0.4466809318943858,0.8198820197501319,0.9509429100896578,0.927017226536597,1.0,0.25602941021828907,0.9219294519740948,1.0,1.0,0.07024645468096731,inside_convoy_envelope,inside,True,0.06238609552383423,1.4538944959640503,1.4983463287353516,1.4939913749694824,vae_candidate_pool_v1,belief_limited_heuristic_v1,8,51,4.053333333333333,4.053333333333333,3.8666666666666663,1.7666666666666666,1.8666666666666671,False,True
VAE000111,vae_candidate_000111,0.9585784393637566,-464.63702392578125,-3562.217041015625,3700.22303382891,1.4605563745529895,0.04909096553323389,5.615647813269957,42,8183.820348303054,2491.3213727139805,2.0599821134201197,1.7301272445700369,3758.1910274790007,0.35191706582331755,0.7264538450934755,0.9693568147096157,0.9873336593712997,1.0,0.25749776417751497,0.9833949793806855,1.0,1.0,0.06918690575262786,inside_convoy_envelope,inside,True,0.07597415894269943,2.0301673412323,2.520099639892578,1.2213010787963867,vae_candidate_pool_v1,belief_limited_heuristic_v1,9,23,4.78,4.78,3.9,2.1666666666666665,2.2666666666666666,True,True
VAE000063,vae_candidate_000063,0.9515210063615057,-1379.863525390625,-1766.9124755859375,2261.456329511831,0.8970341235168567,-0.014482557676608089,5.0571259140101015,42,8201.212332457944,2467.461360793669,2.075491092094508,2.230075972396328,6973.99766680771,0.19514525209163283,0.9963781534745669,0.9905097571030146,0.7904336879127164,1.0,0.2594363865118135,0.9516182509410662,1.0,0.0,0.07493507305905804,astern_vae,astern,False,0.06783299893140793,1.3798717260360718,1.5104798078536987,1.2212483882904053,vae_candidate_pool_v1,belief_limited_heuristic_v1,10,76,2.650000000000001,2.650000000000001,4.0,1.0,1.0500000000000005,False,True
