source_id,source_label,profile_id,u_pos,u_pos_x,u_pos_y,raw_spawn_region,spawn_region,approach_side,inside_convoy_envelope,suggested_label,actual_outcome_label,clearance_m,n_hits,unique_ships_hit,closest_any_ship_distance_m,source_mode
p01_p60,P01-P60 fixed library,P01,"[2600.0, 3200.0]",2600.0,3200.0,ahead,ahead,ahead,False,p01_p60_fixed_library,,1526.9300049445621,,,,p01_p60_fixed_library
p01_p60,P01-P60 fixed library,P02,"[3000.0, 2600.0]",3000.0,2600.0,ahead,ahead,ahead,False,p01_p60_fixed_library,,1862.5131516314186,,,,p01_p60_fixed_library
p01_p60,P01-P60 fixed library,P03,"[2200.0, 3500.0]",2200.0,3500.0,ahead,ahead,ahead,False,p01_p60_fixed_library,,1222.7951749986582,,,,p01_p60_fixed_library
p01_p60,P01-P60 fixed library,P04,"[2800.0, 1800.0]",2800.0,1800.0,ahead,ahead,ahead,False,p01_p60_fixed_library,,1711.4834384241058,,,,p01_p60_fixed_library
p01_p60,P01-P60 fixed library,P05,"[2400.0, 2500.0]",2400.0,2500.0,ahead,ahead,ahead,False,p01_p60_fixed_library,,1280.3106029397711,,,,p01_p60_fixed_library
p01_p60,P01-P60 fixed library,P06,"[3200.0, 1400.0]",3200.0,1400.0,ahead,ahead,ahead,False,p01_p60_fixed_library,,2057.196043161662,,,,p01_p60_fixed_library
p01_p60,P01-P60 fixed library,P07,"[2000.0, 3000.0]",2000.0,3000.0,ahead,ahead,ahead,False,p01_p60_fixed_library,,894.6481095939342,,,,p01_p60_fixed_library
p01_p60,P01-P60 fixed library,P08,"[2600.0, -3200.0]",2600.0,-3200.0,ahead,ahead,ahead,False,p01_p60_fixed_library,,1526.9300049445621,,,,p01_p60_fixed_library
p01_p60,P01-P60 fixed library,P09,"[3000.0, -2600.0]",3000.0,-2600.0,ahead,ahead,ahead,False,p01_p60_fixed_library,,1862.5131516314186,,,,p01_p60_fixed_library
p01_p60,P01-P60 fixed library,P10,"[2200.0, -3500.0]",2200.0,-3500.0,ahead,ahead,ahead,False,p01_p60_fixed_library,,1222.7951749986582,,,,p01_p60_fixed_library
p01_p60,P01-P60 fixed library,P11,"[2800.0, -1800.0]",2800.0,-1800.0,ahead,ahead,ahead,False,p01_p60_fixed_library,,1711.4834384241058,,,,p01_p60_fixed_library
