model_name,profile_id,samples,expected_hits,CVaR_90,p_hit_ge_1,value_lost
static_baseline,P03,120,2.0,2.0,1.0,
static_baseline,P08,120,3.0,3.0,1.0,
static_baseline,P10,120,2.0,2.0,1.0,
static_baseline,P12,120,3.0,3.0,1.0,
static_baseline,P13,120,3.0,3.0,1.0,
static_baseline,P14,120,4.0,4.0,1.0,
static_baseline,P20,120,3.0,3.0,1.0,
static_baseline,P23,120,3.0,3.0,1.0,
static_baseline,P26,120,2.0,2.0,1.0,
static_baseline,P29,120,2.0,2.0,1.0,
heuristic_baseline,P03,120,2.0,2.0,1.0,
heuristic_baseline,P08,120,2.0,2.0,1.0,
heuristic_baseline,P10,120,2.0,2.0,1.0,
heuristic_baseline,P12,120,3.0,3.0,1.0,
heuristic_baseline,P13,120,2.0,2.0,1.0,
heuristic_baseline,P14,120,4.0,4.0,1.0,
heuristic_baseline,P20,120,1.0,1.0,1.0,
heuristic_baseline,P23,120,2.0,2.0,1.0,
heuristic_baseline,P26,120,2.0,2.0,1.0,
heuristic_baseline,P29,120,2.0,2.0,1.0,
