action_name,split,profiles,samples,expected_hits,CVaR_90,VaR_90,p_hit_ge_1,value_lost,expected_unique_ships_hit,expected_repeat_hits,expected_loss,CVaR_90_loss,complexity_cost,layout_type
rect_uniform_6x7_none_mixed_balanced_compact_compact,train,20,2400,2.9291666666666667,3.511020940206879,3.9166666666666665,0.9954166666666667,5.081317708333334,3.496666666666666,0.3408333333333333,8.646151041666664,10.870993362221148,1.0,make_rectangular_convoy
rect_uniform_6x7_none_mixed_balanced_compact_compact,eval,10,1200,3.4283333333333332,3.8,3.9425000000000003,1.0,4.726374999999999,3.3983333333333325,0.5941666666666666,8.243541666666667,10.111425284718123,1.0,make_rectangular_convoy
rect_uniform_6x7_none_mixed_balanced_compact_standard,train,20,2400,2.6470833333333337,3.3210381971088667,3.7816666666666667,0.9916666666666668,4.548328124999999,2.9066666666666667,0.4029166666666667,7.535578124999999,9.631646720225001,1.05,make_rectangular_convoy
rect_uniform_6x7_none_mixed_balanced_compact_standard,eval,10,1200,2.9383333333333335,3.505027608253415,3.9116666666666666,1.0,3.892145833333333,2.5516666666666667,0.595,6.5628125,8.15795227920228,1.05,make_rectangular_convoy
rect_uniform_6x7_none_mixed_balanced_compact_loose,train,20,2400,2.594583333333333,3.263406406406406,3.8325000000000005,0.9891666666666667,4.257278645833333,2.6404166666666664,0.5345833333333333,7.004611979166666,8.83267659283862,1.15,make_rectangular_convoy
rect_uniform_6x7_none_mixed_balanced_compact_loose,eval,10,1200,2.505833333333334,3.224246184960471,3.1316666666666664,0.99,3.7259791666666664,2.370833333333333,0.36833333333333335,6.1704791666666665,7.571662670465746,1.15,make_rectangular_convoy
rect_uniform_6x7_none_mixed_balanced_standard_compact,train,20,2400,3.166666666666667,3.6718958093323364,3.7816666666666667,1.0,5.094932291666666,3.3400000000000007,0.4041666666666666,8.515765624999998,10.518803788341287,1.1,make_rectangular_convoy
rect_uniform_6x7_none_mixed_balanced_standard_compact,eval,10,1200,3.215,3.71,3.95,1.0,5.2912187500000005,3.684166666666667,0.27749999999999997,9.030885416666667,11.258584616959613,1.1,make_rectangular_convoy
rect_uniform_6x7_none_mixed_balanced_standard_standard,train,20,2400,2.989583333333333,3.660908415665196,3.7608333333333337,1.0,4.9445703125,3.192916666666666,0.4025,8.217986979166666,10.068974082141526,1.1500000000000001,make_rectangular_convoy
rect_uniform_6x7_none_mixed_balanced_standard_standard,eval,10,1200,3.0875,3.426280310805977,3.9349999999999996,0.9991666666666668,4.246822916666667,2.6333333333333333,0.5658333333333334,6.993322916666666,8.23170082549393,1.1500000000000001,make_rectangular_convoy
rect_uniform_6x7_none_mixed_balanced_standard_loose,train,20,2400,2.92875,3.483585593650905,3.7891666666666666,0.9974999999999999,4.575760416666666,2.782916666666666,0.6195833333333334,7.4825937499999995,9.23645149041035,1.25,make_rectangular_convoy
rect_uniform_6x7_none_mixed_balanced_standard_loose,eval,10,1200,2.7725,3.327370621322969,3.4324999999999997,0.9991666666666668,3.973583333333333,2.3425000000000002,0.6091666666666666,6.437916666666666,7.8282370677651985,1.25,make_rectangular_convoy
rect_uniform_6x7_none_mixed_balanced_loose_compact,train,20,2400,3.374166666666666,3.8509615384615388,3.8941666666666666,0.9991666666666668,5.08309375,3.2758333333333334,0.5450000000000002,8.467927083333333,10.08817300176712,1.2,make_rectangular_convoy
rect_uniform_6x7_none_mixed_balanced_loose_compact,eval,10,1200,3.413333333333333,3.627564102564102,3.95,1.0,5.366760416666667,3.6525,0.43000000000000005,9.105260416666667,11.020852465588277,1.2,make_rectangular_convoy
rect_uniform_6x7_none_mixed_balanced_loose_standard,train,20,2400,3.1529166666666666,3.668269898852233,3.849166666666667,0.9958333333333333,4.7620625,2.93125,0.5579166666666666,7.804895833333331,9.368712328241932,1.25,make_rectangular_convoy
rect_uniform_6x7_none_mixed_balanced_loose_standard,eval,10,1200,3.0033333333333334,3.325719645851225,3.8074999999999997,0.9966666666666667,4.470427083333334,2.736666666666667,0.4441666666666667,7.295927083333335,8.560215690871633,1.25,make_rectangular_convoy
rect_uniform_6x7_none_mixed_balanced_loose_loose,train,20,2400,3.1670833333333333,3.801111111111111,3.8016666666666667,0.9995833333333334,4.625526041666667,2.7945833333333328,0.6516666666666666,7.550442708333333,9.061411984321824,1.3499999999999999,make_rectangular_convoy
rect_uniform_6x7_none_mixed_balanced_loose_loose,eval,10,1200,3.2016666666666667,3.6166960020115666,3.95,0.9983333333333334,4.195989583333334,2.451666666666667,0.8116666666666665,6.8099895833333335,8.01331687176906,1.3499999999999999,make_rectangular_convoy
rect_uniform_6x7_none_high_value_center_compact_compact,train,20,2400,2.9258333333333333,3.4639754856614244,3.9166666666666665,0.9962500000000001,4.351239583333333,3.432083333333334,0.38625000000000004,7.8605729166666665,10.0361826587644,1.12,make_rectangular_convoy
rect_uniform_6x7_none_high_value_center_compact_compact,eval,10,1200,3.3858333333333333,3.7045977011494253,3.9425000000000003,0.9991666666666668,4.637885416666668,3.330833333333333,0.5875,8.086218749999999,10.077244403494404,1.12,make_rectangular_convoy
rect_uniform_6x7_none_high_value_center_compact_standard,train,20,2400,2.638333333333334,3.2699007369566275,3.7366666666666672,0.9875,3.9376718749999995,2.900833333333333,0.39625,6.917755208333334,8.837942148694296,1.1700000000000002,make_rectangular_convoy
rect_uniform_6x7_none_high_value_center_compact_standard,eval,10,1200,2.9625000000000004,3.4142346648457953,3.941666666666667,0.9974999999999999,3.486010416666667,2.3833333333333337,0.7383333333333334,6.0170104166666665,7.374511872758558,1.1700000000000002,make_rectangular_convoy
rect_uniform_6x7_none_high_value_center_compact_loose,train,20,2400,2.5233333333333334,3.1654607428745356,3.856666666666667,0.9858333333333335,3.2684062499999995,2.537083333333333,0.5295833333333333,5.911406249999999,7.496096140181271,1.27,make_rectangular_convoy
rect_uniform_6x7_none_high_value_center_compact_loose,eval,10,1200,2.5083333333333333,2.9295853978762527,3.2966666666666664,0.9583333333333334,3.2290729166666674,2.206666666666667,0.48083333333333333,5.5319062500000005,6.609075537658872,1.27,make_rectangular_convoy
rect_uniform_6x7_none_high_value_center_standard_compact,train,20,2400,3.099583333333333,3.6677007459412025,3.8116666666666665,0.9983333333333334,4.243854166666667,3.2795833333333335,0.42333333333333323,7.608104166666668,9.681122157209478,1.2200000000000002,make_rectangular_convoy
rect_uniform_6x7_none_high_value_center_standard_compact,eval,10,1200,3.1266666666666674,3.6176877470355735,3.95,0.9983333333333334,4.96240625,3.59,0.2616666666666667,8.604739583333332,10.799407440974694,1.2200000000000002,make_rectangular_convoy
