model_name,profile_id,samples,expected_hits,CVaR_90,p_hit_ge_1,value_lost,expected_unique_ships_hit,expected_repeat_hits,expected_loss,CVaR_90_loss
rect_uniform_6x7_none_mixed_balanced_compact_compact_train,P01,24,3.7916666666666665,4.0,1.0,2.341666666666667,2.2083333333333335,1.5833333333333333,4.866666666666667,7.7
rect_uniform_6x7_none_mixed_balanced_compact_compact_train,P02,24,3.25,4.0,1.0,3.912499999999999,2.75,0.5833333333333334,6.779166666666666,9.1
rect_uniform_6x7_none_mixed_balanced_compact_compact_train,P04,24,3.75,4.0,1.0,3.9249999999999994,2.8333333333333335,0.9166666666666666,6.941666666666667,7.541176470588234
rect_uniform_6x7_none_mixed_balanced_compact_compact_train,P05,24,3.125,4.0,1.0,3.3874999999999997,2.2083333333333335,0.9166666666666666,5.779166666666666,7.3
rect_uniform_6x7_none_mixed_balanced_compact_compact_train,P06,24,1.875,3.0,1.0,2.6249999999999996,1.25,0.625,3.9999999999999996,6.199999999999999
rect_uniform_6x7_none_mixed_balanced_compact_compact_train,P07,24,3.25,4.0,1.0,2.908333333333333,2.4583333333333335,0.9166666666666666,5.550000000000001,9.816666666666665
rect_uniform_6x7_none_mixed_balanced_compact_compact_train,P09,24,3.5416666666666665,4.0,1.0,5.120833333333333,3.8333333333333335,0.0,8.954166666666667,9.300000000000002
rect_uniform_6x7_none_mixed_balanced_compact_compact_train,P11,24,3.7916666666666665,4.0,1.0,5.687499999999999,3.7083333333333335,0.16666666666666666,9.429166666666665,10.299999999999999
rect_uniform_6x7_none_mixed_balanced_compact_compact_train,P15,24,1.125,2.0,1.0,3.078125,2.4583333333333335,0.0,5.536458333333333,6.461666666666668
rect_uniform_6x7_none_mixed_balanced_compact_compact_train,P16,24,1.3333333333333333,2.142857142857143,1.0,2.5749999999999997,1.75,0.08333333333333333,4.341666666666667,5.0
rect_uniform_6x7_none_mixed_balanced_compact_compact_train,P17,24,3.875,4.0,1.0,7.726041666666666,7.541666666666667,0.0,15.267708333333331,16.491964285714285
rect_uniform_6x7_none_mixed_balanced_compact_compact_train,P18,24,2.125,3.0,1.0,3.3187499999999996,2.2083333333333335,0.125,5.552083333333333,7.15
rect_uniform_6x7_none_mixed_balanced_compact_compact_train,P19,24,3.875,4.0,1.0,6.6312500000000005,5.416666666666667,0.041666666666666664,12.056249999999999,15.25
rect_uniform_6x7_none_mixed_balanced_compact_compact_train,P21,24,2.375,3.0,1.0,2.05,2.0,0.375,4.125,4.25
rect_uniform_6x7_none_mixed_balanced_compact_compact_train,P22,24,2.2916666666666665,3.0,1.0,13.393749999999995,5.958333333333333,0.0,19.35208333333333,19.499999999999996
rect_uniform_6x7_none_mixed_balanced_compact_compact_train,P24,24,3.5416666666666665,4.0,1.0,6.893749999999998,3.4166666666666665,0.375,10.385416666666666,14.558333333333332
rect_uniform_6x7_none_mixed_balanced_compact_compact_train,P25,24,2.0833333333333335,3.0,1.0,4.637499999999999,2.2083333333333335,0.20833333333333334,6.887499999999998,9.299999999999999
rect_uniform_6x7_none_mixed_balanced_compact_compact_train,P27,24,3.875,4.0,1.0,7.178124999999999,6.166666666666667,0.0,13.344791666666666,15.274999999999999
rect_uniform_6x7_none_mixed_balanced_compact_compact_train,P28,24,2.75,3.0,1.0,12.653124999999998,6.958333333333333,0.0,19.611458333333335,23.580000000000002
rect_uniform_6x7_none_mixed_balanced_compact_compact_train,P30,24,2.4583333333333335,3.1538461538461537,0.9583333333333334,3.116666666666667,3.0416666666666665,0.0,6.158333333333334,9.466666666666667
rect_uniform_6x7_none_mixed_balanced_compact_compact_eval,P03,24,3.9166666666666665,4.0,1.0,2.65,2.5,1.4166666666666667,5.433333333333333,6.844444444444445
rect_uniform_6x7_none_mixed_balanced_compact_compact_eval,P08,24,3.7916666666666665,4.0,1.0,4.19375,3.125,0.6666666666666666,7.452083333333333,9.25
rect_uniform_6x7_none_mixed_balanced_compact_compact_eval,P10,24,3.625,4.0,1.0,2.829166666666666,2.75,0.875,5.754166666666666,6.677272727272728
rect_uniform_6x7_none_mixed_balanced_compact_compact_eval,P12,24,3.125,4.0,1.0,3.849999999999999,2.6666666666666665,0.5,6.616666666666666,7.3999999999999995
rect_uniform_6x7_none_mixed_balanced_compact_compact_eval,P13,24,2.0416666666666665,2.0869565217391304,1.0,4.1125,1.9583333333333333,0.125,6.095833333333332,6.217391304347825
rect_uniform_6x7_none_mixed_balanced_compact_compact_eval,P14,24,4.0,4.0,1.0,4.921875,4.416666666666667,0.041666666666666664,9.346874999999999,10.487499999999999
rect_uniform_6x7_none_mixed_balanced_compact_compact_eval,P20,24,4.0,4.0,1.0,4.45625,3.25,0.75,7.85625,9.5
rect_uniform_6x7_none_mixed_balanced_compact_compact_eval,P23,24,3.3333333333333335,4.0,1.0,5.022916666666666,2.875,0.5416666666666666,8.00625,11.049999999999999
