action_name,split,profiles,samples,expected_hits,CVaR_90,VaR_90,p_hit_ge_1,value_lost,expected_unique_ships_hit,expected_repeat_hits,expected_loss,CVaR_90_loss,summary_budget,n_trials_per_seed,complexity_cost,layout_type
rect_uniform_6x7_none_mixed_balanced_compact_compact,train,20,480,2.904166666666667,3.464835164835165,3.875,0.9979166666666666,5.1580208333333335,3.51875,0.34583333333333327,8.7459375,10.677073704481796,screen_only,8,1.0,make_rectangular_convoy
rect_uniform_6x7_none_mixed_balanced_compact_compact,eval,10,240,3.4708333333333328,3.708695652173913,4.0,1.0,4.793645833333334,3.4416666666666664,0.5916666666666667,8.353645833333335,10.2176608476065,screen_only,8,1.0,make_rectangular_convoy
rect_uniform_6x7_none_mixed_balanced_compact_standard,train,20,480,2.6208333333333336,3.3229166666666665,3.8,0.9833333333333334,4.618411458333332,2.927083333333333,0.3916666666666666,7.623828125,9.447436011904761,screen_only,8,1.05,make_rectangular_convoy
rect_uniform_6x7_none_mixed_balanced_compact_standard,eval,10,240,2.9458333333333333,3.4130434782608696,4.0,1.0,3.9339062499999997,2.566666666666667,0.5833333333333333,6.617239583333334,7.931539855072463,screen_only,8,1.05,make_rectangular_convoy
rect_uniform_6x7_none_mixed_balanced_compact_loose,train,20,480,2.5770833333333334,3.2694444444444444,3.8375000000000004,0.9833333333333334,4.318515625,2.6520833333333336,0.5395833333333333,7.078515625,8.683409722222223,screen_only,8,1.15,make_rectangular_convoy
rect_uniform_6x7_none_mixed_balanced_compact_loose,eval,10,240,2.5374999999999996,3.1639588100686504,3.3249999999999997,0.9958333333333333,3.8053645833333336,2.4208333333333334,0.35833333333333334,6.297864583333333,7.565943378800796,screen_only,8,1.15,make_rectangular_convoy
rect_uniform_6x7_none_mixed_balanced_standard_compact,train,20,480,3.089583333333333,3.566867690058479,3.8375000000000004,1.0,5.097161458333333,3.297916666666667,0.4020833333333333,8.475494791666668,10.208269542957044,screen_only,8,1.1,make_rectangular_convoy
rect_uniform_6x7_none_mixed_balanced_standard_compact,eval,10,240,3.225,3.8,4.0,1.0,5.303072916666666,3.6958333333333337,0.2791666666666667,9.054739583333333,11.088791666666667,screen_only,8,1.1,make_rectangular_convoy
rect_uniform_6x7_none_mixed_balanced_standard_standard,train,20,480,2.925,3.5106210418950186,3.7583333333333333,1.0,4.989101562499998,3.197916666666667,0.38125,8.263268229166666,9.920920080532216,screen_only,8,1.1500000000000001,make_rectangular_convoy
rect_uniform_6x7_none_mixed_balanced_standard_standard,eval,10,240,3.1125,3.5098086124401915,3.9625,1.0,4.262499999999999,2.645833333333333,0.5708333333333333,7.022499999999999,8.450302631578946,screen_only,8,1.1500000000000001,make_rectangular_convoy
rect_uniform_6x7_none_mixed_balanced_standard_loose,train,20,480,2.885416666666667,3.366780462184874,3.8375000000000004,0.9979166666666668,4.644713541666666,2.8124999999999996,0.5958333333333333,7.576380208333333,9.03337730733319,screen_only,8,1.25,make_rectangular_convoy
rect_uniform_6x7_none_mixed_balanced_standard_loose,eval,10,240,2.8291666666666666,3.324013157894737,3.5875,0.9958333333333333,3.9855729166666665,2.3541666666666665,0.6541666666666667,6.470572916666666,7.717470173595754,screen_only,8,1.25,make_rectangular_convoy
rect_uniform_6x7_none_mixed_balanced_loose_compact,train,20,480,3.2979166666666666,3.8023809523809526,3.875,0.9979166666666668,5.089843749999999,3.275,0.4979166666666667,8.464427083333334,10.02004130116959,screen_only,8,1.2,make_rectangular_convoy
rect_uniform_6x7_none_mixed_balanced_loose_compact,eval,10,240,3.45,3.625,4.0,1.0,5.382239583333333,3.645833333333333,0.4708333333333333,9.122239583333334,10.840695134575569,screen_only,8,1.2,make_rectangular_convoy
rect_uniform_6x7_none_mixed_balanced_loose_standard,train,20,480,3.120833333333333,3.6145604395604396,3.8375000000000004,0.9958333333333333,4.795052083333332,2.947916666666667,0.5291666666666666,7.8488020833333305,9.425990338164251,screen_only,8,1.25,make_rectangular_convoy
rect_uniform_6x7_none_mixed_balanced_loose_standard,eval,10,240,3.0541666666666667,3.3323453240945495,3.8125,1.0,4.530260416666667,2.7750000000000004,0.4625,7.397760416666666,8.556742715617714,screen_only,8,1.25,make_rectangular_convoy
rect_uniform_6x7_none_mixed_balanced_loose_loose,train,20,480,3.1270833333333337,3.755,3.7625,0.9979166666666666,4.631093749999999,2.772916666666667,0.63125,7.530260416666667,8.91096439014202,screen_only,8,1.3499999999999999,make_rectangular_convoy
rect_uniform_6x7_none_mixed_balanced_loose_loose,eval,10,240,3.2541666666666673,3.5100000000000002,4.0,1.0,4.237395833333332,2.470833333333333,0.8541666666666667,6.879062499999999,8.006297658862875,screen_only,8,1.3499999999999999,make_rectangular_convoy
rect_uniform_6x7_none_high_value_center_compact_compact,train,20,480,2.895833333333333,3.414835164835165,3.875,0.9958333333333333,4.434427083333334,3.46875,0.3791666666666667,7.979010416666668,10.0648923992674,screen_only,8,1.12,make_rectangular_convoy
rect_uniform_6x7_none_high_value_center_compact_compact,eval,10,240,3.429166666666667,3.705263157894737,4.0,0.9958333333333333,4.645833333333334,3.3583333333333334,0.5958333333333333,8.123333333333333,10.21127262443439,screen_only,8,1.12,make_rectangular_convoy
rect_uniform_6x7_none_high_value_center_compact_standard,train,20,480,2.60625,3.264583333333333,3.7625,0.9770833333333334,4.010755208333333,2.933333333333333,0.36458333333333337,7.017005208333333,8.719861149267398,screen_only,8,1.1700000000000002,make_rectangular_convoy
rect_uniform_6x7_none_high_value_center_compact_standard,eval,10,240,2.9749999999999996,3.325898078529657,4.0,0.9958333333333333,3.5176562500000004,2.4,0.725,6.062656249999999,7.479370915032679,screen_only,8,1.1700000000000002,make_rectangular_convoy
rect_uniform_6x7_none_high_value_center_compact_loose,train,20,2400,2.5233333333333334,3.1654607428745356,3.856666666666667,0.9858333333333335,3.2684062499999995,2.537083333333333,0.5295833333333333,5.911406249999999,7.496096140181271,full,40,1.27,make_rectangular_convoy
rect_uniform_6x7_none_high_value_center_compact_loose,eval,10,1200,2.5083333333333333,2.9295853978762527,3.2966666666666664,0.9583333333333334,3.2290729166666674,2.206666666666667,0.48083333333333333,5.5319062500000005,6.609075537658872,full,40,1.27,make_rectangular_convoy
rect_uniform_6x7_none_high_value_center_standard_compact,train,20,480,3.033333333333333,3.607272727272728,3.8375000000000004,0.9958333333333333,4.239947916666667,3.2395833333333335,0.4291666666666667,7.5653645833333325,9.544326923076923,screen_only,8,1.2200000000000002,make_rectangular_convoy
rect_uniform_6x7_none_high_value_center_standard_compact,eval,10,240,3.1416666666666666,3.629090909090909,4.0,1.0,4.9346354166666675,3.5833333333333335,0.26666666666666666,8.571302083333332,10.745734577922077,screen_only,8,1.2200000000000002,make_rectangular_convoy
rect_uniform_6x7_none_high_value_center_standard_standard,train,20,480,2.864583333333333,3.4274960418950187,3.8333333333333335,0.9979166666666668,4.138828125000001,3.1166666666666667,0.34375,7.324244791666667,8.965421568627452,screen_only,8,1.2700000000000002,make_rectangular_convoy
rect_uniform_6x7_none_high_value_center_standard_standard,eval,10,240,3.083333333333333,3.520634920634921,3.9625,1.0,3.584375,2.4999999999999996,0.675,6.219375,8.005669191919193,screen_only,8,1.2700000000000002,make_rectangular_convoy
rect_uniform_6x7_none_high_value_center_standard_loose,train,20,2400,2.7645833333333334,3.3817706466469266,3.9091666666666667,0.9933333333333334,3.434432291666666,2.667916666666667,0.5537500000000001,6.213098958333332,7.776463106076605,full,40,1.37,make_rectangular_convoy
rect_uniform_6x7_none_high_value_center_standard_loose,eval,10,1200,2.565833333333333,3.1502574593679116,3.29,0.9983333333333334,3.1997083333333336,2.236666666666667,0.4925,5.5348749999999995,7.098197811397081,full,40,1.37,make_rectangular_convoy
rect_uniform_6x7_none_high_value_center_loose_compact,train,20,480,3.2708333333333335,3.75465367965368,3.875,1.0,4.23640625,3.1791666666666663,0.5229166666666666,7.520156250000001,9.075479166666666,screen_only,8,1.32,make_rectangular_convoy
rect_uniform_6x7_none_high_value_center_loose_compact,eval,10,240,3.3625,3.7125,4.0,1.0,4.899114583333334,3.5375,0.4625,8.529114583333333,10.476169413919413,screen_only,8,1.32,make_rectangular_convoy
rect_uniform_6x7_none_high_value_center_loose_standard,train,20,480,3.0041666666666664,3.5170274170274167,3.8375000000000004,0.9875,3.844791666666667,2.8354166666666667,0.4999999999999999,6.7802083333333325,8.128248015873016,screen_only,8,1.37,make_rectangular_convoy
rect_uniform_6x7_none_high_value_center_loose_standard,eval,10,240,2.9416666666666673,3.32421568627451,3.925,1.0,3.7255729166666667,2.683333333333333,0.4166666666666667,6.492239583333332,7.925829248366012,screen_only,8,1.37,make_rectangular_convoy
rect_uniform_6x7_none_high_value_center_loose_loose,train,20,480,2.952083333333333,3.580853174603175,3.7250000000000005,0.9937499999999998,3.4764583333333334,2.64375,0.5645833333333333,6.233124999999999,7.499361111111112,screen_only,8,1.47,make_rectangular_convoy
rect_uniform_6x7_none_high_value_center_loose_loose,eval,10,240,3.1,3.5201680672268907,4.0,1.0,3.2233333333333336,2.4,0.7333333333333333,5.7700000000000005,6.926761904761904,screen_only,8,1.47,make_rectangular_convoy
rect_uniform_6x7_centered_alt_mixed_balanced_compact_compact,train,20,480,3.1645833333333333,3.51359649122807,3.875,0.95,4.502721354166666,3.3416666666666672,0.4166666666666667,7.927721354166666,9.3925964997412,screen_only,8,1.1,make_rectangular_convoy
rect_uniform_6x7_centered_alt_mixed_balanced_compact_compact,eval,10,240,3.325,3.6,4.0,0.9875,4.41125,3.2166666666666672,0.3333333333333333,7.694583333333331,9.018701086956522,screen_only,8,1.1,make_rectangular_convoy
rect_uniform_6x7_centered_alt_mixed_balanced_compact_standard,train,20,480,2.9708333333333337,3.5524999999999998,3.875,0.9416666666666668,3.9877473958333334,2.7500000000000004,0.5979166666666667,6.857330729166667,8.562804563492062,screen_only,8,1.1500000000000001,make_rectangular_convoy
rect_uniform_6x7_centered_alt_mixed_balanced_compact_standard,eval,10,240,2.916666666666667,3.407692307692308,4.0,0.9458333333333332,3.8185937500000002,2.6750000000000003,0.6291666666666668,6.619427083333333,8.365897435897436,screen_only,8,1.1500000000000001,make_rectangular_convoy
rect_uniform_6x7_centered_alt_mixed_balanced_compact_loose,train,20,2400,2.7070833333333333,3.3129363421998725,3.9091666666666667,0.9475000000000001,3.6386093749999993,2.394166666666667,0.5620833333333333,6.145192708333334,7.593028738586256,full,40,1.25,make_rectangular_convoy
rect_uniform_6x7_centered_alt_mixed_balanced_compact_loose,eval,10,1200,2.363333333333333,3.0425197366397945,3.4691666666666663,0.8866666666666667,3.317458333333333,2.1975000000000002,0.30333333333333334,5.575625,7.333781288745006,full,40,1.25,make_rectangular_convoy
rect_uniform_6x7_centered_alt_mixed_balanced_standard_compact,train,20,480,3.025,3.561805555555556,3.875,0.975,4.405533854166667,3.2270833333333337,0.28958333333333336,7.690533854166667,10.2568125,screen_only,8,1.2000000000000002,make_rectangular_convoy
rect_uniform_6x7_centered_alt_mixed_balanced_standard_compact,eval,10,240,2.9208333333333334,3.3128787878787875,4.0,0.9083333333333332,4.159635416666666,2.995833333333333,0.29166666666666663,7.213802083333332,8.385540019762846,screen_only,8,1.2000000000000002,make_rectangular_convoy
rect_uniform_6x7_centered_alt_mixed_balanced_standard_standard,train,20,480,2.775,3.510096153846154,3.5208333333333335,0.9479166666666667,3.6536458333333335,2.5124999999999997,0.5520833333333333,6.2765625,8.2135625,screen_only,8,1.2500000000000002,make_rectangular_convoy
rect_uniform_6x7_centered_alt_mixed_balanced_standard_standard,eval,10,240,3.3166666666666673,3.6041666666666665,4.0,0.9916666666666666,4.07828125,2.9875,0.5666666666666667,7.179114583333333,9.064416666666666,screen_only,8,1.2500000000000002,make_rectangular_convoy
rect_uniform_6x7_centered_alt_mixed_balanced_standard_loose,train,20,2400,2.6750000000000003,3.234187097983619,3.5933333333333337,0.9483333333333335,3.5246171875,2.3470833333333334,0.5979166666666667,5.991283854166666,7.384855922472774,full,40,1.35,make_rectangular_convoy
rect_uniform_6x7_centered_alt_mixed_balanced_standard_loose,eval,10,1200,2.458333333333333,3.2256883116883115,3.605,0.9791666666666666,2.8659375000000002,1.8699999999999999,0.6266666666666667,4.861270833333334,6.711582213158891,full,40,1.35,make_rectangular_convoy
rect_uniform_6x7_centered_alt_mixed_balanced_loose_compact,train,20,480,3.029166666666667,3.4710839598997496,3.875,0.9979166666666668,4.30578125,3.0374999999999996,0.4520833333333332,7.433697916666667,8.851312656641602,screen_only,8,1.3,make_rectangular_convoy
rect_uniform_6x7_centered_alt_mixed_balanced_loose_compact,eval,10,240,2.470833333333333,3.0,3.925,0.8833333333333334,3.4276562499999996,2.4375,0.3458333333333333,5.934322916666666,7.980884615384615,screen_only,8,1.3,make_rectangular_convoy
rect_uniform_6x7_centered_alt_mixed_balanced_loose_standard,train,20,480,2.8270833333333334,3.470535714285714,3.875,0.9916666666666668,3.9673828125,2.6812499999999995,0.44375,6.737382812499999,8.613228438228438,screen_only,8,1.35,make_rectangular_convoy
rect_uniform_6x7_centered_alt_mixed_balanced_loose_standard,eval,10,240,2.620833333333333,3.0142857142857142,4.0,0.9458333333333334,3.3278124999999994,2.3708333333333336,0.7791666666666666,5.854479166666666,7.345525362318841,screen_only,8,1.35,make_rectangular_convoy
rect_uniform_6x7_centered_alt_mixed_balanced_loose_loose,train,20,2400,2.5183333333333335,3.1302317913789452,3.7908333333333335,0.9441666666666668,3.459619791666667,2.166666666666667,0.4583333333333333,5.717953124999999,7.151129921518484,full,40,1.45,make_rectangular_convoy
rect_uniform_6x7_centered_alt_mixed_balanced_loose_loose,eval,10,1200,2.3916666666666666,2.8561533463287847,3.9425000000000003,0.9458333333333332,2.567552083333333,1.6441666666666666,0.765,4.36471875,5.898843659799119,full,40,1.45,make_rectangular_convoy
rect_uniform_6x7_centered_alt_high_value_center_compact_compact,train,20,480,3.145833333333333,3.5087121212121217,3.875,0.9458333333333334,4.518697916666666,3.329166666666667,0.41875,7.931614583333333,9.539419642857144,screen_only,8,1.2200000000000002,make_rectangular_convoy
rect_uniform_6x7_centered_alt_high_value_center_compact_compact,eval,10,240,3.2666666666666666,3.5154761904761904,4.0,0.9875,4.442187500000001,3.1833333333333336,0.3125,7.688020833333335,9.211486801242234,screen_only,8,1.2200000000000002,make_rectangular_convoy
rect_uniform_6x7_centered_alt_high_value_center_compact_standard,train,20,480,2.88125,3.5026315789473683,3.875,0.9416666666666668,3.6708593750000005,2.6875,0.55625,6.469609375,7.919246553884713,screen_only,8,1.2700000000000002,make_rectangular_convoy
rect_uniform_6x7_centered_alt_high_value_center_compact_standard,eval,10,240,2.854166666666667,3.318181818181818,4.0,0.9458333333333332,3.82109375,2.6208333333333327,0.5833333333333334,6.55859375,8.455,screen_only,8,1.2700000000000002,make_rectangular_convoy
rect_uniform_6x7_centered_alt_high_value_center_compact_loose,train,20,2400,2.6858333333333335,3.311323299710711,3.9091666666666667,0.9466666666666667,3.173375,2.3162499999999997,0.6024999999999999,5.610124999999999,7.026912605969359,full,40,1.37,make_rectangular_convoy
rect_uniform_6x7_centered_alt_high_value_center_compact_loose,eval,10,1200,2.32,3.0360071301247773,3.3641666666666663,0.8691666666666666,3.0758125000000005,2.095833333333333,0.3691666666666667,5.245479166666667,6.75817857142857,full,40,1.37,make_rectangular_convoy
rect_uniform_6x7_centered_alt_high_value_center_standard_compact,train,20,480,3.025,3.5573232323232324,3.875,0.9833333333333334,4.429127604166666,3.2395833333333335,0.29791666666666666,7.7282942708333335,10.050622023809524,screen_only,8,1.3200000000000003,make_rectangular_convoy
rect_uniform_6x7_centered_alt_high_value_center_standard_compact,eval,10,240,2.8541666666666665,3.2268589743589744,4.0,0.9041666666666668,4.258697916666667,2.9708333333333337,0.2666666666666667,7.282864583333334,9.053020833333331,screen_only,8,1.3200000000000003,make_rectangular_convoy
