param_name,param_value,expected_hits,var_hits,p_hit_ge_1,seed
spacing_along,400.0,4.0,0.0,1.0,1945
spacing_along,600.0,6.0,0.0,1.0,1945
spacing_along,800.0,8.0,0.0,1.0,1945
spacing_across,250.0,10.0,0.0,1.0,1945
spacing_across,350.0,6.0,0.0,1.0,1945
spacing_across,450.0,2.0,0.0,1.0,1945
spread_rad,0.08726646259971647,6.0,0.0,1.0,1945
spread_rad,0.2617993877991494,6.0,0.0,1.0,1945
spread_rad,0.4363323129985824,6.0,0.0,1.0,1945
sigma_heading_rad,0.0,6.0,0.0,1.0,1945
sigma_heading_rad,0.025,5.28,2.7516,1.0,1945
sigma_heading_rad,0.05,5.44,3.1963999999999997,1.0,1945
p_dud,0.0,6.0,0.0,1.0,1945
p_dud,0.15,5.095,1.425975,0.995,1945
p_dud,0.3,4.16,2.2544,0.985,1945
